SEGMENTOS,BASE,"MARGEM DE
ERRO MÁXIMA"
Masculino,3928,2
Feminino,4380,2
16 a 24 anos,1144,3
25 a 34 anos,1648,2
35 a 44 anos,1710,2
45 a 59 anos,2045,2
60 anos ou mais,1761,2
Fundamental,2209,2
Médio,3806,2
Superior,2293,2
Até 2 S.M.,3549,2
Mais de 2 a 5 S.M.,3189,2
Mais de 5 a 10 S.M.,921,3
Mais de 10 S.M.,366,5
Sudeste,5186,1
Sul,799,4
Nordeste,1443,3
Norte,466,5
Centro-Oeste,414,5
Região Metropolitana,3608,2
Interior,4700,1
SP,3134,2
RJ,831,3
MG,1119,3
Católica,4420,2
Evangélica,2099,2
Espírita | Kardecista,258,6
Lula (PT),4166,2
Jair Bolsonaro (PL),3574,2
